,DATETIME,YEAR,MONTH,INDEX_NO,STN_NAME,DD,T,GGGG,DDD,FF,FMFM,VV,WW,N,CL1,CL2,CL3,CL4,CL5,CL6,TTT,TWTW,TDTD,RH,QFE,QFF,QNH,TXTX,RRR,TOT_RRR
0,2021-06-01 19:00:00,2021,Jun,1,SNG,1,1,1900,150.0,4.0,,60.0,2,7.0,4625.0,1930.0,5359.0,,,,14.5,14.1,13.9,96.0,831.5,1474.0,1015.8,,,
6,2021-06-01 19:30:00,2021,Jun,1,SNG,1,1,1930,130.0,8.0,,60.0,2,7.0,4625.0,1930.0,6359.0,,,,14.0,13.4,13.0,94.0,831.9,1478.0,1016.2,,,
8,2021-06-01 20:00:00,2021,Jun,1,SNG,1,1,2000,130.0,7.0,,60.0,2,8.0,4625.0,1930.0,7359.0,,,,13.9,13.5,13.2,96.0,832.4,1483.0,1016.9,,,
15,2021-06-01 20:30:00,2021,Jun,1,SNG,1,4,2030,160.0,10.0,,60.0,2,8.0,2620.0,4625.0,1930.0,7359.0,,,13.7,13.4,13.2,97.0,832.5,1484.0,1017.0,,0.001,0.001
19,2021-06-01 21:00:00,2021,Jun,1,SNG,1,1,2100,180.0,8.0,,60.0,1,6.0,3625.0,5359.0,,,,,13.7,13.3,12.9,95.0,832.6,1485.0,1017.1,,,
20,2021-06-01 21:30:00,2021,Jun,1,SNG,1,1,2130,160.0,5.0,,60.0,2,6.0,3625.0,5359.0,,,,,13.8,13.0,12.4,91.0,832.7,1486.0,1017.2,,,
26,2021-06-01 22:00:00,2021,Jun,1,SNG,1,1,2200,160.0,5.0,,60.0,1,5.0,3625.0,4359.0,,,,,13.6,12.7,12.0,90.0,832.8,1487.0,1017.3,,,
27,2021-06-01 22:30:00,2021,Jun,1,SNG,1,1,2230,200.0,3.0,,60.0,2,5.0,3625.0,4359.0,,,,,13.8,12.6,11.6,87.0,832.9,1488.0,1017.4,,,
30,2021-06-01 23:00:00,2021,Jun,1,SNG,1,1,2300,999.0,2.0,,60.0,1,4.0,2625.0,3359.0,,,,,12.6,12.0,11.5,93.0,832.9,1489.0,1017.4,,,
32,2021-06-01 23:30:00,2021,Jun,1,SNG,1,4,2330,999.0,2.0,,60.0,2,4.0,2625.0,3359.0,,,,,12.6,12.4,12.1,97.0,832.6,1486.0,1017.0,,0.0,0.0
38,2021-06-02 00:00:00,2021,Jun,1,SNG,2,1,0,999.0,2.0,,60.0,2,4.0,2625.0,3359.0,,,,,12.0,11.9,11.7,97.0,832.6,1486.0,1017.1,,,
40,2021-06-02 00:30:00,2021,Jun,1,SNG,2,1,30,999.0,2.0,,60.0,2,4.0,2625.0,3359.0,,,,,11.4,11.3,11.2,99.0,832.6,1486.0,1017.1,,,
44,2021-06-02 01:00:00,2021,Jun,1,SNG,2,1,100,300.0,3.0,,60.0,1,3.0,1625.0,3360.0,,,,,11.4,11.3,11.2,99.0,832.6,1486.0,1017.0,,,
45,2021-06-02 01:30:00,2021,Jun,1,SNG,2,1,130,270.0,3.0,,60.0,2,3.0,1625.0,3360.0,,,,,11.3,11.3,11.3,100.0,832.6,1486.0,1017.0,,,
48,2021-06-02 02:00:00,2021,Jun,1,SNG,2,1,200,250.0,3.0,,60.0,2,3.0,1625.0,3360.0,,,,,11.5,11.5,11.5,100.0,832.5,1485.0,1016.9,,,
53,2021-06-02 02:30:00,2021,Jun,1,SNG,2,4,230,230.0,3.0,,60.0,3,4.0,1625.0,4360.0,,,,,11.9,11.8,11.7,99.0,832.5,1485.0,1016.9,,0.0,0.0
57,2021-06-02 03:00:00,2021,Jun,1,SNG,2,1,300,999.0,2.0,,60.0,3,5.0,2625.0,5360.0,,,,,11.7,11.6,11.5,99.0,832.5,1485.0,1017.0,,,
