,DATETIME,YEAR,MONTH,INDEX_NO,STN_NAME,DD,T,GGGG,DDD,FF,FMFM,VV,WW,N,CL1,CL2,CL3,CL4,CL5,CL6,TTT,TWTW,TDTD,RH,QFE,QFF,QNH,TXTX,RRR,TOT_RRR
0,2021-09-05 02:30:00,2021,Sep,10,CDH,5,4,230,140.0,4.0,,60.0,2,6.0,3625.0,4360.0,,,,,27.0,26.4,26.1,95.0,967.5,1002.2,1004.4,,0.0,0.0
6,2021-09-05 03:00:00,2021,Sep,10,CDH,5,1,300,140.0,3.0,,60.0,2,6.0,3625.0,4360.0,,,,,27.1,26.3,26.0,94.0,967.5,1002.2,1004.4,,,
11,2021-09-05 04:00:00,2021,Sep,10,CDH,5,1,400,160.0,4.0,,60.0,2,6.0,3625.0,4360.0,,,,,27.1,26.2,25.9,93.0,967.3,1002.0,1004.2,,,
16,2021-09-05 05:00:00,2021,Sep,10,CDH,5,1,500,999.0,2.0,,50.0,10,6.0,3625.0,5360.0,,,,,27.0,26.3,25.8,93.0,967.6,1002.3,1004.5,,,
20,2021-09-05 05:30:00,2021,Sep,10,CDH,5,4,530,140.0,4.0,,50.0,10,6.0,3625.0,5360.0,,,,,26.9,25.8,25.3,91.0,967.8,1002.5,1004.7,,0.0,0.0
25,2021-09-05 06:00:00,2021,Sep,10,CDH,5,1,600,120.0,4.0,,30.0,10,7.0,3625.0,6359.0,,,,,26.7,25.9,25.5,93.0,968.2,1003.0,1005.2,,,
29,2021-09-05 06:30:00,2021,Sep,10,CDH,5,1,630,130.0,5.0,,25.0,10,3.0,1625.0,3360.0,,,,,26.6,25.9,25.6,94.0,968.6,1003.4,1005.0,,,
34,2021-09-05 07:00:00,2021,Sep,10,CDH,5,1,700,140.0,5.0,,25.0,10,3.0,2625.0,3360.0,,,,,27.1,26.2,25.8,93.0,969.0,1003.7,1005.9,,,
35,2021-09-05 07:30:00,2021,Sep,10,CDH,5,1,730,140.0,5.0,,35.0,10,2.0,2630.0,,,,,,27.8,26.4,25.8,89.0,969.2,1003.8,1006.1,,,
39,2021-09-05 08:00:00,2021,Sep,10,CDH,5,1,800,150.0,4.0,,40.0,10,2.0,2630.0,,,,,,29.0,26.5,25.5,82.0,969.5,1004.0,1006.4,,,
46,2021-09-05 08:30:00,2021,Sep,10,CDH,5,4,830,140.0,4.0,,60.0,2,2.0,2630.0,,,,,,29.7,26.4,25.2,77.0,969.5,1004.0,1006.4,266.0,0.0,13.4
48,2021-09-05 09:00:00,2021,Sep,10,CDH,5,1,900,150.0,4.0,,60.0,2,2.0,2630.0,1830.0,,,,,30.5,27.2,25.9,77.0,969.9,1004.3,1006.9,,,
51,2021-09-05 09:30:00,2021,Sep,10,CDH,5,1,930,170.0,5.0,,60.0,2,2.0,1630.0,1830.0,,,,,31.1,27.1,25.5,72.0,970.2,1004.5,1007.1,,,
55,2021-09-05 10:00:00,2021,Sep,10,CDH,5,1,1000,150.0,4.0,,60.0,3,3.0,1630.0,3360.0,,,,,31.6,27.2,25.5,70.0,970.2,1004.6,1007.3,,,
59,2021-09-05 10:30:00,2021,Sep,10,CDH,5,1,1030,110.0,3.0,,60.0,2,3.0,1630.0,3360.0,,,,,32.5,27.8,26.0,69.0,970.2,1004.5,1007.4,,,
64,2021-09-05 11:00:00,2021,Sep,10,CDH,5,1,1100,110.0,3.0,,60.0,2,3.0,1630.0,3360.0,,,,,32.9,28.0,25.7,66.0,970.4,1004.5,1007.4,,,
70,2021-09-05 11:30:00,2021,Sep,10,CDH,5,4,1130,140.0,5.0,,60.0,2,3.0,1630.0,1830.0,3360.0,,,,33.1,27.9,25.8,66.0,970.1,1004.2,1007.1,,0.0,0.0
74,2021-09-05 12:00:00,2021,Sep,10,CDH,5,1,1200,180.0,6.0,,60.0,2,3.0,3630.0,1830.0,,,,,33.7,28.1,26.1,65.0,969.8,1003.8,1006.8,,,
78,2021-09-05 12:30:00,2021,Sep,10,CDH,5,1,1230,180.0,6.0,,60.0,2,3.0,3630.0,1830.0,,,,,33.8,28.0,25.9,63.0,969.7,1003.7,1006.6,,,
80,2021-09-05 13:00:00,2021,Sep,10,CDH,5,1,1300,230.0,4.0,,60.0,2,3.0,3630.0,1830.0,,,,,34.2,28.2,25.9,62.0,969.3,1003.2,1006.2,,,
83,2021-09-05 13:30:00,2021,Sep,10,CDH,5,1,1330,220.0,3.0,,60.0,2,3.0,3630.0,1830.0,,,,,35.0,28.2,25.5,58.0,968.7,1002.5,1005.6,,,
87,2021-09-05 14:00:00,2021,Sep,10,CDH,5,1,1400,260.0,3.0,,60.0,3,4.0,3630.0,1830.0,,,,,35.1,28.8,26.4,61.0,968.5,1002.3,1005.4,,,
97,2021-09-05 14:30:00,2021,Sep,10,CDH,5,4,1430,230.0,4.0,,60.0,2,4.0,3630.0,1830.0,,,,,35.1,28.7,26.2,60.0,968.0,1001.8,1004.9,,0.0,0.0
99,2021-09-05 15:00:00,2021,Sep,10,CDH,5,1,1500,230.0,4.0,,60.0,2,4.0,3630.0,1830.0,,,,,34.9,28.3,25.7,59.0,967.4,1001.2,1004.3,,,
103,2021-09-05 15:30:00,2021,Sep,10,CDH,5,1,1530,999.0,2.0,,60.0,1,3.0,3630.0,1830.0,,,,,35.6,28.7,25.5,56.0,966.8,1000.5,1003.7,,,
110,2021-09-05 16:00:00,2021,Sep,10,CDH,5,1,1600,210.0,3.0,,60.0,2,3.0,3630.0,1830.0,,,,,35.3,27.8,24.8,55.0,966.5,1000.2,1003.3,,,
115,2021-09-05 16:30:00,2021,Sep,10,CDH,5,1,1630,200.0,3.0,,60.0,2,3.0,3630.0,1830.0,,,,,34.9,28.5,26.0,60.0,966.2,999.9,1003.0,,,
118,2021-09-05 17:00:00,2021,Sep,10,CDH,5,1,1700,270.0,4.0,,60.0,2,3.0,3630.0,1830.0,,,,,34.5,28.1,25.6,60.0,965.9,999.7,1002.7,,,
124,2021-09-05 17:30:00,2021,Sep,10,CDH,5,4,1730,250.0,4.0,,60.0,2,3.0,2630.0,1830.0,,,,,32.9,28.0,26.1,67.0,965.8,999.7,1002.6,359.0,0.0,0.0
125,2021-09-05 18:00:00,2021,Sep,10,CDH,5,1,1800,260.0,5.0,,60.0,2,3.0,3630.0,1830.0,,,,,32.1,27.8,26.2,71.0,965.8,999.8,1002.6,,,
132,2021-09-05 18:30:00,2021,Sep,10,CDH,5,1,1830,260.0,4.0,,60.0,3,4.0,4630.0,1359.0,,,,,31.8,27.7,26.1,73.0,966.0,999.9,1002.8,,,
133,2021-09-05 19:00:00,2021,Sep,10,CDH,5,1,1900,260.0,4.0,,60.0,2,4.0,3630.0,2359.0,,,,,30.9,27.3,25.8,74.0,966.2,1000.4,1003.0,,,
140,2021-09-05 19:30:00,2021,Sep,10,CDH,5,1,1930,280.0,4.0,,60.0,1,3.0,3630.0,1359.0,,,,,30.7,27.1,25.7,75.0,966.3,1000.5,1003.1,,,
141,2021-09-05 20:00:00,2021,Sep,10,CDH,5,1,2000,240.0,3.0,,60.0,2,3.0,3630.0,,,,,,30.0,27.4,26.1,80.0,966.6,1000.9,1003.5,,,
147,2021-09-05 20:30:00,2021,Sep,10,CDH,5,4,2030,999.0,2.0,,60.0,1,2.0,2630.0,,,,,,29.9,27.4,26.3,81.0,966.6,1000.9,1003.5,,0.0,0.0
152,2021-09-05 21:00:00,2021,Sep,10,CDH,5,1,2100,999.0,2.0,,60.0,2,2.0,2630.0,,,,,,29.6,27.4,26.4,83.0,966.8,1001.1,1003.7,,,
156,2021-09-05 22:00:00,2021,Sep,10,CDH,5,1,2200,0.0,0.0,,60.0,3,4.0,2630.0,3075.0,,,,,29.4,27.4,26.4,84.0,967.1,1001.5,1004.0,,,
160,2021-09-05 23:00:00,2021,Sep,10,CDH,5,1,2300,999.0,2.0,,60.0,2,4.0,2630.0,3075.0,,,,,29.0,27.2,26.3,85.0,967.4,1001.8,1004.3,,,
166,2021-09-05 23:30:00,2021,Sep,10,CDH,5,4,2330,999.0,1.0,,60.0,1,2.0,2630.0,,,,,,29.2,27.4,26.4,85.0,967.8,1002.2,1004.7,,0.0,0.0
170,2021-09-06 00:00:00,2021,Sep,10,CDH,6,1,0,999.0,2.0,,60.0,2,2.0,2630.0,,,,,,29.1,27.3,26.5,86.0,968.3,1002.7,1005.2,,,
173,2021-09-06 01:00:00,2021,Sep,10,CDH,6,1,100,999.0,2.0,,60.0,2,2.0,2630.0,,,,,,28.9,27.2,26.5,87.0,968.6,1003.1,1005.5,,,
180,2021-09-06 02:00:00,2021,Sep,10,CDH,6,1,200,140.0,5.0,,60.0,2,2.0,2630.0,,,,,,28.4,27.0,26.4,89.0,968.7,1003.2,1005.6,,,
181,2021-09-06 02:30:00,2021,Sep,10,CDH,6,4,230,140.0,4.0,,50.0,10,4.0,2630.0,3360.0,,,,,28.1,27.0,26.5,91.0,968.8,1003.4,1005.7,,0.0,0.0
187,2021-09-06 03:00:00,2021,Sep,10,CDH,6,1,300,130.0,5.0,,50.0,10,4.0,2630.0,3360.0,,,,,28.2,27.0,26.6,91.0,968.8,1003.4,1005.7,,,
192,2021-09-06 04:00:00,2021,Sep,10,CDH,6,1,400,140.0,4.0,,40.0,10,6.0,2630.0,5360.0,,,,,28.1,26.9,26.3,90.0,968.8,1003.4,1005.7,,,
195,2021-09-06 05:00:00,2021,Sep,10,CDH,6,1,500,130.0,3.0,,35.0,10,6.0,2630.0,5360.0,,,,,28.3,26.9,26.3,89.0,969.0,1003.6,1005.9,,,
201,2021-09-06 05:30:00,2021,Sep,10,CDH,6,4,530,999.0,2.0,,35.0,10,6.0,2630.0,5360.0,,,,,28.3,26.9,26.1,88.0,969.2,1003.8,1006.1,,0.0,0.0
