DATETIME,YEAR,MONTH,INDEX_NO,STN_NAME,DD,T,GGGG,DDD,FF,FMFM,VV,WW,N,CL1,CL2,CL3,CL4,CL5,CL6,TTT,TWTW,TDTD,RH,QFE,QFF,QNH,TXTX,RRR,TOT_RRR
2021-09-05 02:30:00,2021,Sep,10,CDH,5,4,230,140.0,4.0,,60.0,2,6.0,3625.0,4360.0,,,,,27.0,26.4,26.1,95.0,967.5,1002.2,1004.4,,0.0,0.0
2021-09-05 02:30:00,2021,Sep,17,HND,5,4,230,999.0,2.0,,30.0,10,5.0,2620.0,4359.0,,,,,26.4,25.4,25.0,92.0,978.1,1001.9,1003.3,,0.0,0.0
2021-09-05 02:30:00,2021,Sep,56,GKP,5,4,230,999.0,1.0,,60.0,2,5.0,2625.0,4075.0,,,,,27.2,27.2,27.2,100.0,993.0,1001.8,1002.3,,0.0,0.0
2021-09-05 02:30:00,2021,Sep,1,SNG,5,4,230,200.0,3.0,,50.0,4,1.0,1625.0,,,,,,19.3,16.1,13.7,70.0,829.0,1445.0,1012.9,,0.0,0.0
2021-09-05 03:00:00,2021,Sep,1,SNG,5,1,300,210.0,3.0,,50.0,4,1.0,1625.0,,,,,,18.4,15.8,13.9,75.0,828.9,1444.0,1012.8,,,
2021-09-05 03:00:00,2021,Sep,56,GKP,5,1,300,999.0,1.0,,60.0,2,5.0,2625.0,1930.0,4075.0,,,,27.2,27.2,27.2,100.0,992.8,1001.6,1002.1,,,
2021-09-05 03:00:00,2021,Sep,10,CDH,5,1,300,140.0,3.0,,60.0,2,6.0,3625.0,4360.0,,,,,27.1,26.3,26.0,94.0,967.5,1002.2,1004.4,,,
2021-09-05 03:00:00,2021,Sep,17,HND,5,1,300,999.0,2.0,,30.0,10,5.0,2620.0,4359.0,,,,,26.2,25.4,25.1,93.0,978.1,1001.9,1003.3,,,
2021-09-05 03:30:00,2021,Sep,1,SNG,5,1,330,120.0,3.0,,50.0,4,1.0,1625.0,,,,,,16.5,14.8,13.5,82.0,829.0,1447.0,1012.9,,,
2021-09-05 04:00:00,2021,Sep,1,SNG,5,1,400,999.0,2.0,,50.0,4,1.0,1625.0,,,,,,16.8,14.9,13.3,80.0,829.0,1447.0,1012.9,,,
2021-09-05 04:00:00,2021,Sep,17,HND,5,1,400,0.0,0.0,,30.0,10,5.0,2620.0,4359.0,,,,,26.0,25.4,25.1,95.0,978.0,1001.8,1003.2,,,
2021-09-05 04:00:00,2021,Sep,10,CDH,5,1,400,160.0,4.0,,60.0,2,6.0,3625.0,4360.0,,,,,27.1,26.2,25.9,93.0,967.3,1002.0,1004.2,,,
2021-09-05 04:00:00,2021,Sep,56,GKP,5,1,400,999.0,1.0,,60.0,2,5.0,2625.0,1930.0,4075.0,,,,27.2,27.2,27.2,100.0,992.8,1001.6,1002.1,,,
2021-09-05 04:30:00,2021,Sep,1,SNG,5,1,430,999.0,2.0,,40.0,4,1.0,1625.0,,,,,,17.1,14.9,13.2,78.0,829.0,1446.0,1012.9,,,
2021-09-05 05:00:00,2021,Sep,56,GKP,5,1,500,999.0,1.0,,50.0,10,5.0,2625.0,4075.0,,,,,27.2,27.2,27.2,100.0,992.9,1001.7,1002.2,,,
2021-09-05 05:00:00,2021,Sep,10,CDH,5,1,500,999.0,2.0,,50.0,10,6.0,3625.0,5360.0,,,,,27.0,26.3,25.8,93.0,967.6,1002.3,1004.5,,,
