,DATETIME,YEAR,MONTH,INDEX_NO,STN_NAME,DD,T,GGGG,DDD,FF,FMFM,VV,WW,N,CL1,CL2,CL3,CL4,CL5,CL6,TTT,TWTW,TDTD,RH,QFE,QFF,QNH,TXTX,RRR,TOT_RRR
2,2021-09-05 02:30:00,2021,Sep,56,GKP,5,4,230,999.0,1.0,,60.0,2,5.0,2625.0,4075.0,,,,,27.2,27.2,27.2,100.0,993.0,1001.8,1002.3,,0.0,0.0
5,2021-09-05 03:00:00,2021,Sep,56,GKP,5,1,300,999.0,1.0,,60.0,2,5.0,2625.0,1930.0,4075.0,,,,27.2,27.2,27.2,100.0,992.8,1001.6,1002.1,,,
12,2021-09-05 04:00:00,2021,Sep,56,GKP,5,1,400,999.0,1.0,,60.0,2,5.0,2625.0,1930.0,4075.0,,,,27.2,27.2,27.2,100.0,992.8,1001.6,1002.1,,,
17,2021-09-05 05:00:00,2021,Sep,56,GKP,5,1,500,999.0,1.0,,50.0,10,5.0,2625.0,4075.0,,,,,27.2,27.2,27.2,100.0,992.9,1001.7,1002.2,,,
18,2021-09-05 05:30:00,2021,Sep,56,GKP,5,4,530,999.0,2.0,,40.0,10,5.0,2625.0,4075.0,,,,,27.6,27.6,27.6,100.0,993.3,1002.0,1002.6,,0.0,0.0
22,2021-09-05 05:50:00,2021,Sep,56,GKP,5,2,550,999.0,2.0,,30.0,10,4.0,2625.0,3075.0,,,,,27.2,27.2,27.2,100.0,993.4,1002.1,1002.7,,,
23,2021-09-05 06:00:00,2021,Sep,56,GKP,5,1,600,999.0,2.0,,30.0,10,4.0,2625.0,3075.0,,,,,27.2,27.2,27.2,100.0,993.8,1002.5,1003.1,,,
28,2021-09-05 06:30:00,2021,Sep,56,GKP,5,1,630,999.0,2.0,,30.0,10,3.0,1625.0,3075.0,,,,,28.0,28.0,28.0,100.0,994.1,1002.8,1003.4,,,
31,2021-09-05 07:00:00,2021,Sep,56,GKP,5,1,700,90.0,3.0,,40.0,10,3.0,1625.0,3075.0,,,,,28.6,28.6,28.6,100.0,994.2,1002.9,1003.5,,,
37,2021-09-05 07:30:00,2021,Sep,56,GKP,5,1,730,100.0,3.0,,40.0,10,5.0,2625.0,5075.0,,,,,29.0,29.0,29.0,100.0,994.1,1002.8,1003.4,,,
41,2021-09-05 08:00:00,2021,Sep,56,GKP,5,1,800,50.0,3.0,,50.0,10,5.0,2625.0,5075.0,,,,,29.8,29.8,29.8,100.0,994.7,1003.4,1004.0,,,
44,2021-09-05 08:30:00,2021,Sep,56,GKP,5,4,830,999.0,2.0,,50.0,10,5.0,2615.0,5075.0,,,,,30.9,29.8,29.5,94.0,994.8,1003.5,1004.1,270.0,0.0,0.0
